2022-02-28 14:31:51,946 | root | INFO | Starting...
2022-02-28 14:32:58,583 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:33:09,859 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN90510%2C+SN41990%2C+SN47445%2C+SN30650%2C+SN55735%2C+SN40510%2C+SN91120%2C+SN90360%2C+SN50310%2C+SN76938%2C+SN58860%2C+SN50175%2C+SN63705%2C+SN27055%2C+SN35210%2C+SN91715%2C+SN46930%2C+SN5660%2C+SN66175%2C+SN50770%2C+SN76923%2C+SN18920%2C+SN94230%2C+SN12030%2C+SN2980%2C+SN98790%2C+SN60310%2C+SN34130%2C+SN68860%2C+SN50540%2C+SN18950%2C+SN44780%2C+SN92860%2C+SN13390%2C+SN85380%2C+SN76920%2C+SN9380%2C+SN16611%2C+SN18280%2C+SN51610%2C+SN41795%2C+SN15050%2C+SN93000%2C+SN61410%2C+SN93700%2C+SN27730%2C+SN75550%2C+SN68175%2C+SN16560%2C+SN43350%2C+SN72580%2C+SN26450%2C+SN69380%2C+SN4460%2C+SN66150%2C+SN54110%2C+SN81420%2C+SN87315%2C+SN93900%2C+SN12050%2C+SN82210%2C+SN33950%2C+SN76937%2C+SN18315%2C+SN41005%2C+SN24820%2C+SN44567%2C+SN17400%2C+SN4920%2C+SN87120%2C+SN74670%2C+SN76931%2C+SN96400%2C+SN76922%2C+SN76330%2C+SN96310%2C+SN84880%2C+SN11060%2C+SN76934%2C+SN57770%2C+SN52360%2C+SN53230%2C+SN5590%2C+SN92500%2C+SN75220%2C+SN24350%2C+SN60850%2C+SN49420%2C+SN22890%2C+SN31620%2C+SN84500%2C+SN2560%2C+SN80050%2C+SN80705%2C+SN75190%2C+SN39150%2C+SN3720%2C+SN37230%2C+SN66810%2C+SN27415%2C+SN60835%2C+SN70390%2C+SN44300%2C+SN55425%2C+SN41770%2C+SN19430%2C+SN44605%2C+SN12291%2C+SN40005%2C+SN63000%2C+SN71550%2C+SN82020%2C+SN84900%2C+SN54710%2C+SN25112%2C+SN82720%2C+SN61065%2C+SN27295%2C+SN76963%2C+SN62240%2C+SN60670%2C+SN90250%2C+SN76954%2C+SN76927%2C+SN46432%2C+SN85890%2C+SN12680%2C+SN4590%2C+SN56420%2C+SN26580%2C+SN47260%2C+SN54590%2C+SN19815%2C+SN8780%2C+SN96850%2C+SN57365%2C+SN13125%2C+SN43010%2C+SN16265%2C+SN53480%2C+SN25165%2C+SN32890%2C+SN29950%2C+SN70960%2C+SN27420%2C+SN13110%2C+SN30255%2C+SN46090%2C+SN44610%2C+SN31855%2C+SN32061%2C+SN27010%2C+SN65275%2C+SN79253%2C+SN50830%2C+SN43895%2C+SN56895%2C+SN18020%2C+SN84905%2C+SN30428%2C+SN39750%2C+SN76956%2C+SN61408%2C+SN60980%2C+SN12550%2C+SN68050%2C+SN1380%2C+SN76959&referencetime=2019-01-31T12%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 83086
2022-02-28 14:33:11,382 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:33:21,021 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN36200%2C+SN58100%2C+SN78170%2C+SN61420%2C+SN44080%2C+SN94430%2C+SN76926%2C+SN89980%2C+SN83960%2C+SN58770%2C+SN79764%2C+SN50480%2C+SN1960%2C+SN57810%2C+SN65310%2C+SN52310%2C+SN79791%2C+SN59586%2C+SN25110%2C+SN68238%2C+SN10800%2C+SN6700%2C+SN52555%2C+SN28923%2C+SN27470%2C+SN24240%2C+SN15950%2C+SN30242%2C+SN73630%2C+SN38140%2C+SN50539%2C+SN11790%2C+SN39100%2C+SN55770%2C+SN58910%2C+SN91675%2C+SN91729%2C+SN26970%2C+SN70980%2C+SN44190%2C+SN94235%2C+SN99950%2C+SN37150%2C+SN4950%2C+SN61060%2C+SN6170%2C+SN3290%2C+SN52940%2C+SN50500%2C+SN3730%2C+SN9310%2C+SN84970%2C+SN9400%2C+SN45350%2C+SN90%2C+SN87000%2C+SN49085%2C+SN87763%2C+SN87117%2C+SN44985%2C+SN87772%2C+SN67280%2C+SN26790%2C+SN82290%2C+SN50503%2C+SN77230%2C+SN22690%2C+SN48170%2C+SN67890%2C+SN35110%2C+SN61810%2C+SN91740%2C+SN60240%2C+SN36330%2C+SN80615%2C+SN27780%2C+SN90110%2C+SN19663%2C+SN47350%2C+SN27433%2C+SN54815%2C+SN3810%2C+SN53101%2C+SN24230%2C+SN44560%2C+SN90400%2C+SN36560%2C+SN11125%2C+SN49865%2C+SN78360%2C+SN44563%2C+SN65530%2C+SN94195%2C+SN61340%2C+SN30244%2C+SN13655%2C+SN59450%2C+SN12590%2C+SN18269%2C+SN87110%2C+SN40905%2C+SN43220%2C+SN71230%2C+SN63595%2C+SN76245%2C+SN76936%2C+SN59800%2C+SN3370%2C+SN80707%2C+SN16271%2C+SN19923%2C+SN88010%2C+SN90630%2C+SN33300%2C+SN76939%2C+SN56250%2C+SN27450%2C+SN98265%2C+SN34370%2C+SN42490%2C+SN89233%2C+SN3005%2C+SN32540%2C+SN37600%2C+SN34095%2C+SN57000%2C+SN98360%2C+SN38150%2C+SN63630%2C+SN24890%2C+SN82130%2C+SN85040%2C+SN3190%2C+SN50525%2C+SN50507%2C+SN90800%2C+SN52535%2C+SN43007%2C+SN46425%2C+SN85560%2C+SN82970%2C+SN38730%2C+SN26950%2C+SN64300%2C+SN31400%2C+SN86810%2C+SN4960%2C+SN50815%2C+SN16040%2C+SN66740%2C+SN43530%2C+SN84920%2C+SN26630%2C+SN87970%2C+SN81340%2C+SN47220%2C+SN4200%2C+SN42160%2C+SN27500%2C+SN27285%2C+SN52415%2C+SN76935%2C+SN65451%2C+SN17640%2C+SN16620%2C+SN64700%2C+SN53010%2C+SN40880%2C+SN21680&referencetime=2019-01-31T12%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 85468
2022-02-28 14:33:22,551 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:33:35,704 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN22990%2C+SN52860%2C+SN25541%2C+SN90560%2C+SN48069%2C+SN9580%2C+SN60190%2C+SN99370%2C+SN4825%2C+SN45530%2C+SN11500%2C+SN11440%2C+SN39450%2C+SN15890%2C+SN92895%2C+SN33430%2C+SN5680%2C+SN61790%2C+SN47480%2C+SN27320%2C+SN5330%2C+SN7950%2C+SN85640%2C+SN27870%2C+SN49860%2C+SN90305%2C+SN120%2C+SN10070%2C+SN38735%2C+SN2480%2C+SN98580%2C+SN66120%2C+SN67340%2C+SN26590%2C+SN54645%2C+SN97710%2C+SN89940%2C+SN76958%2C+SN27460%2C+SN3990%2C+SN27400%2C+SN84910%2C+SN28450%2C+SN47300%2C+SN11000%2C+SN30280%2C+SN94680%2C+SN23300%2C+SN84210%2C+SN25830%2C+SN33555%2C+SN16610%2C+SN91480%2C+SN8230%2C+SN1600%2C+SN4543%2C+SN55700%2C+SN58670%2C+SN87640%2C+SN60880%2C+SN60225%2C+SN26060%2C+SN6690%2C+SN58350%2C+SN91420%2C+SN94500%2C+SN76960%2C+SN6020%2C+SN77041%2C+SN60990%2C+SN81760%2C+SN94805%2C+SN19830%2C+SN44485%2C+SN26900%2C+SN31700%2C+SN50514%2C+SN82310%2C+SN15730%2C+SN47060%2C+SN98630%2C+SN44730%2C+SN17895%2C+SN71780%2C+SN29720%2C+SN62270%2C+SN39212%2C+SN76930%2C+SN97251%2C+SN57150%2C+SN73550%2C+SN27130%2C+SN70850%2C+SN48070%2C+SN59680%2C+SN60640%2C+SN67210%2C+SN75410%2C+SN82220%2C+SN49087%2C+SN64590%2C+SN17850%2C+SN16845%2C+SN26750%2C+SN86520%2C+SN27270%2C+SN48330%2C+SN62290%2C+SN13160%2C+SN76932%2C+SN79220%2C+SN4260%2C+SN64760%2C+SN18690%2C+SN91505%2C+SN60247%2C+SN25580%2C+SN80730%2C+SN60947%2C+SN88628%2C+SN48120%2C+SN53530%2C+SN32240%2C+SN5495%2C+SN4780%2C+SN34100%2C+SN80870%2C+SN12666%2C+SN8880%2C+SN99460%2C+SN63725%2C+SN27075%2C+SN80610%2C+SN58165%2C+SN50360%2C+SN17550%2C+SN180%2C+SN80200%2C+SN46430%2C+SN98090%2C+SN50865%2C+SN62950%2C+SN6580%2C+SN33890%2C+SN64870%2C+SN98550%2C+SN20540%2C+SN86600%2C+SN67140%2C+SN59110%2C+SN52390%2C+SN20361%2C+SN71805%2C+SN55970%2C+SN39040%2C+SN47055%2C+SN95350%2C+SN76967%2C+SN55820%2C+SN13150%2C+SN63940%2C+SN89985%2C+SN14200%2C+SN61580%2C+SN24670%2C+SN90490%2C+SN77490%2C+SN86740%2C+SN76925%2C+SN85080&referencetime=2019-01-31T12%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 84592
2022-02-28 14:33:37,183 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:33:45,859 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN18700%2C+SN80740%2C+SN61630%2C+SN78910%2C+SN8140%2C+SN23500%2C+SN50810%2C+SN50245%2C+SN52452%2C+SN51010%2C+SN51800%2C+SN57380%2C+SN44640%2C+SN53280%2C+SN65060%2C+SN54330%2C+SN26840%2C+SN12180%2C+SN90495%2C+SN66630%2C+SN76957%2C+SN50526%2C+SN29400%2C+SN80880%2C+SN19710%2C+SN69190%2C+SN26780%2C+SN45675%2C+SN23550%2C+SN32220%2C+SN79600%2C+SN68125%2C+SN28380%2C+SN64330%2C+SN76965%2C+SN57030%2C+SN45770%2C+SN17150%2C+SN27315%2C+SN33990%2C+SN1135%2C+SN90100%2C+SN90450%2C+SN55705%2C+SN61070%2C+SN8800%2C+SN18265%2C+SN37070%2C+SN76968%2C+SN67153%2C+SN80700%2C+SN84630%2C+SN17090%2C+SN76995%2C+SN12290%2C+SN51470%2C+SN17000%2C+SN17380%2C+SN46610%2C+SN80102%2C+SN57789%2C+SN69150%2C+SN51440%2C+SN94280%2C+SN60890%2C+SN41825%2C+SN62200%2C+SN725%2C+SN30305%2C+SN17870%2C+SN77425%2C+SN51990%2C+SN56960%2C+SN15262%2C+SN76450%2C+SN76961%2C+SN77350%2C+SN69661%2C+SN32060%2C+SN62295%2C+SN64242%2C+SN82410%2C+SN76928%2C+SN6840%2C+SN69625%2C+SN93140%2C+SN20280%2C+SN71850%2C+SN72200%2C+SN17050%2C+SN81650%2C+SN85840%2C+SN26500%2C+SN20301%2C+SN53990%2C+SN51460%2C+SN76240%2C+SN19825%2C+SN69655%2C+SN50850%2C+SN69520%2C+SN25630%2C+SN62980%2C+SN43520%2C+SN99540%2C+SN55928%2C+SN76530%2C+SN30020%2C+SN60650%2C+SN700%2C+SN89010%2C+SN27403%2C+SN67005%2C+SN41480%2C+SN38250%2C+SN31970%2C+SN18270%2C+SN42700%2C+SN26820%2C+SN57710%2C+SN26802%2C+SN37580%2C+SN69035%2C+SN65940%2C+SN21700%2C+SN27406%2C+SN54770%2C+SN670%2C+SN27065%2C+SN36010%2C+SN85645%2C+SN76969%2C+SN97470%2C+SN49955%2C+SN11340%2C+SN35860%2C+SN91728%2C+SN25040%2C+SN71990%2C+SN45460%2C+SN11690%2C+SN18410%2C+SN89350%2C+SN57790%2C+SN40250%2C+SN49240%2C+SN5350%2C+SN26990%2C+SN55520%2C+SN50505%2C+SN83710%2C+SN64510%2C+SN17650%2C+SN30330%2C+SN71385%2C+SN59695%2C+SN13750%2C+SN20470%2C+SN96650%2C+SN27785%2C+SN68230%2C+SN91530%2C+SN91180%2C+SN9303%2C+SN3480%2C+SN41090%2C+SN67560%2C+SN26810%2C+SN30246&referencetime=2019-01-31T06%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 84974
2022-02-28 14:33:47,432 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:33:58,503 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN90510%2C+SN41990%2C+SN47445%2C+SN30650%2C+SN55735%2C+SN40510%2C+SN91120%2C+SN90360%2C+SN50310%2C+SN76938%2C+SN58860%2C+SN50175%2C+SN63705%2C+SN27055%2C+SN35210%2C+SN91715%2C+SN46930%2C+SN5660%2C+SN66175%2C+SN50770%2C+SN76923%2C+SN18920%2C+SN94230%2C+SN12030%2C+SN2980%2C+SN98790%2C+SN60310%2C+SN34130%2C+SN68860%2C+SN50540%2C+SN18950%2C+SN44780%2C+SN92860%2C+SN13390%2C+SN85380%2C+SN76920%2C+SN9380%2C+SN16611%2C+SN18280%2C+SN51610%2C+SN41795%2C+SN15050%2C+SN93000%2C+SN61410%2C+SN93700%2C+SN27730%2C+SN75550%2C+SN68175%2C+SN16560%2C+SN43350%2C+SN72580%2C+SN26450%2C+SN69380%2C+SN4460%2C+SN66150%2C+SN54110%2C+SN81420%2C+SN87315%2C+SN93900%2C+SN12050%2C+SN82210%2C+SN33950%2C+SN76937%2C+SN18315%2C+SN41005%2C+SN24820%2C+SN44567%2C+SN17400%2C+SN4920%2C+SN87120%2C+SN74670%2C+SN76931%2C+SN96400%2C+SN76922%2C+SN76330%2C+SN96310%2C+SN84880%2C+SN11060%2C+SN76934%2C+SN57770%2C+SN52360%2C+SN53230%2C+SN5590%2C+SN92500%2C+SN75220%2C+SN24350%2C+SN60850%2C+SN49420%2C+SN22890%2C+SN31620%2C+SN84500%2C+SN2560%2C+SN80050%2C+SN80705%2C+SN75190%2C+SN39150%2C+SN3720%2C+SN37230%2C+SN66810%2C+SN27415%2C+SN60835%2C+SN70390%2C+SN44300%2C+SN55425%2C+SN41770%2C+SN19430%2C+SN44605%2C+SN12291%2C+SN40005%2C+SN63000%2C+SN71550%2C+SN82020%2C+SN84900%2C+SN54710%2C+SN25112%2C+SN82720%2C+SN61065%2C+SN27295%2C+SN76963%2C+SN62240%2C+SN60670%2C+SN90250%2C+SN76954%2C+SN76927%2C+SN46432%2C+SN85890%2C+SN12680%2C+SN4590%2C+SN56420%2C+SN26580%2C+SN47260%2C+SN54590%2C+SN19815%2C+SN8780%2C+SN96850%2C+SN57365%2C+SN13125%2C+SN43010%2C+SN16265%2C+SN53480%2C+SN25165%2C+SN32890%2C+SN29950%2C+SN70960%2C+SN27420%2C+SN13110%2C+SN30255%2C+SN46090%2C+SN44610%2C+SN31855%2C+SN32061%2C+SN27010%2C+SN65275%2C+SN79253%2C+SN50830%2C+SN43895%2C+SN56895%2C+SN18020%2C+SN84905%2C+SN30428%2C+SN39750%2C+SN76956%2C+SN61408%2C+SN60980%2C+SN12550%2C+SN68050%2C+SN1380%2C+SN76959&referencetime=2019-01-31T06%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 81608
2022-02-28 14:34:00,132 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:34:09,665 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN36200%2C+SN58100%2C+SN78170%2C+SN61420%2C+SN44080%2C+SN94430%2C+SN76926%2C+SN89980%2C+SN83960%2C+SN58770%2C+SN79764%2C+SN50480%2C+SN1960%2C+SN57810%2C+SN65310%2C+SN52310%2C+SN79791%2C+SN59586%2C+SN25110%2C+SN68238%2C+SN10800%2C+SN6700%2C+SN52555%2C+SN28923%2C+SN27470%2C+SN24240%2C+SN15950%2C+SN30242%2C+SN73630%2C+SN38140%2C+SN50539%2C+SN11790%2C+SN39100%2C+SN55770%2C+SN58910%2C+SN91675%2C+SN91729%2C+SN26970%2C+SN70980%2C+SN44190%2C+SN94235%2C+SN99950%2C+SN37150%2C+SN4950%2C+SN61060%2C+SN6170%2C+SN3290%2C+SN52940%2C+SN50500%2C+SN3730%2C+SN9310%2C+SN84970%2C+SN9400%2C+SN45350%2C+SN90%2C+SN87000%2C+SN49085%2C+SN87763%2C+SN87117%2C+SN44985%2C+SN87772%2C+SN67280%2C+SN26790%2C+SN82290%2C+SN50503%2C+SN77230%2C+SN22690%2C+SN48170%2C+SN67890%2C+SN35110%2C+SN61810%2C+SN91740%2C+SN60240%2C+SN36330%2C+SN80615%2C+SN27780%2C+SN90110%2C+SN19663%2C+SN47350%2C+SN27433%2C+SN54815%2C+SN3810%2C+SN53101%2C+SN24230%2C+SN44560%2C+SN90400%2C+SN36560%2C+SN11125%2C+SN49865%2C+SN78360%2C+SN44563%2C+SN65530%2C+SN94195%2C+SN61340%2C+SN30244%2C+SN13655%2C+SN59450%2C+SN12590%2C+SN18269%2C+SN87110%2C+SN40905%2C+SN43220%2C+SN71230%2C+SN63595%2C+SN76245%2C+SN76936%2C+SN59800%2C+SN3370%2C+SN80707%2C+SN16271%2C+SN19923%2C+SN88010%2C+SN90630%2C+SN33300%2C+SN76939%2C+SN56250%2C+SN27450%2C+SN98265%2C+SN34370%2C+SN42490%2C+SN89233%2C+SN3005%2C+SN32540%2C+SN37600%2C+SN34095%2C+SN57000%2C+SN98360%2C+SN38150%2C+SN63630%2C+SN24890%2C+SN82130%2C+SN85040%2C+SN3190%2C+SN50525%2C+SN50507%2C+SN90800%2C+SN52535%2C+SN43007%2C+SN46425%2C+SN85560%2C+SN82970%2C+SN38730%2C+SN26950%2C+SN64300%2C+SN31400%2C+SN86810%2C+SN4960%2C+SN50815%2C+SN16040%2C+SN66740%2C+SN43530%2C+SN84920%2C+SN26630%2C+SN87970%2C+SN81340%2C+SN47220%2C+SN4200%2C+SN42160%2C+SN27500%2C+SN27285%2C+SN52415%2C+SN76935%2C+SN65451%2C+SN17640%2C+SN16620%2C+SN64700%2C+SN53010%2C+SN40880%2C+SN21680&referencetime=2019-01-31T06%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 85480
2022-02-28 14:34:11,195 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:34:20,009 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN22990%2C+SN52860%2C+SN25541%2C+SN90560%2C+SN48069%2C+SN9580%2C+SN60190%2C+SN99370%2C+SN4825%2C+SN45530%2C+SN11500%2C+SN11440%2C+SN39450%2C+SN15890%2C+SN92895%2C+SN33430%2C+SN5680%2C+SN61790%2C+SN47480%2C+SN27320%2C+SN5330%2C+SN7950%2C+SN85640%2C+SN27870%2C+SN49860%2C+SN90305%2C+SN120%2C+SN10070%2C+SN38735%2C+SN2480%2C+SN98580%2C+SN66120%2C+SN67340%2C+SN26590%2C+SN54645%2C+SN97710%2C+SN89940%2C+SN76958%2C+SN27460%2C+SN3990%2C+SN27400%2C+SN84910%2C+SN28450%2C+SN47300%2C+SN11000%2C+SN30280%2C+SN94680%2C+SN23300%2C+SN84210%2C+SN25830%2C+SN33555%2C+SN16610%2C+SN91480%2C+SN8230%2C+SN1600%2C+SN4543%2C+SN55700%2C+SN58670%2C+SN87640%2C+SN60880%2C+SN60225%2C+SN26060%2C+SN6690%2C+SN58350%2C+SN91420%2C+SN94500%2C+SN76960%2C+SN6020%2C+SN77041%2C+SN60990%2C+SN81760%2C+SN94805%2C+SN19830%2C+SN44485%2C+SN26900%2C+SN31700%2C+SN50514%2C+SN82310%2C+SN15730%2C+SN47060%2C+SN98630%2C+SN44730%2C+SN17895%2C+SN71780%2C+SN29720%2C+SN62270%2C+SN39212%2C+SN76930%2C+SN97251%2C+SN57150%2C+SN73550%2C+SN27130%2C+SN70850%2C+SN48070%2C+SN59680%2C+SN60640%2C+SN67210%2C+SN75410%2C+SN82220%2C+SN49087%2C+SN64590%2C+SN17850%2C+SN16845%2C+SN26750%2C+SN86520%2C+SN27270%2C+SN48330%2C+SN62290%2C+SN13160%2C+SN76932%2C+SN79220%2C+SN4260%2C+SN64760%2C+SN18690%2C+SN91505%2C+SN60247%2C+SN25580%2C+SN80730%2C+SN60947%2C+SN88628%2C+SN48120%2C+SN53530%2C+SN32240%2C+SN5495%2C+SN4780%2C+SN34100%2C+SN80870%2C+SN12666%2C+SN8880%2C+SN99460%2C+SN63725%2C+SN27075%2C+SN80610%2C+SN58165%2C+SN50360%2C+SN17550%2C+SN180%2C+SN80200%2C+SN46430%2C+SN98090%2C+SN50865%2C+SN62950%2C+SN6580%2C+SN33890%2C+SN64870%2C+SN98550%2C+SN20540%2C+SN86600%2C+SN67140%2C+SN59110%2C+SN52390%2C+SN20361%2C+SN71805%2C+SN55970%2C+SN39040%2C+SN47055%2C+SN95350%2C+SN76967%2C+SN55820%2C+SN13150%2C+SN63940%2C+SN89985%2C+SN14200%2C+SN61580%2C+SN24670%2C+SN90490%2C+SN77490%2C+SN86740%2C+SN76925%2C+SN85080&referencetime=2019-01-31T06%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 85984
2022-02-28 14:34:21,640 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:34:27,792 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN18700%2C+SN80740%2C+SN61630%2C+SN78910%2C+SN8140%2C+SN23500%2C+SN50810%2C+SN50245%2C+SN52452%2C+SN51010%2C+SN51800%2C+SN57380%2C+SN44640%2C+SN53280%2C+SN65060%2C+SN54330%2C+SN26840%2C+SN12180%2C+SN90495%2C+SN66630%2C+SN76957%2C+SN50526%2C+SN29400%2C+SN80880%2C+SN19710%2C+SN69190%2C+SN26780%2C+SN45675%2C+SN23550%2C+SN32220%2C+SN79600%2C+SN68125%2C+SN28380%2C+SN64330%2C+SN76965%2C+SN57030%2C+SN45770%2C+SN17150%2C+SN27315%2C+SN33990%2C+SN1135%2C+SN90100%2C+SN90450%2C+SN55705%2C+SN61070%2C+SN8800%2C+SN18265%2C+SN37070%2C+SN76968%2C+SN67153%2C+SN80700%2C+SN84630%2C+SN17090%2C+SN76995%2C+SN12290%2C+SN51470%2C+SN17000%2C+SN17380%2C+SN46610%2C+SN80102%2C+SN57789%2C+SN69150%2C+SN51440%2C+SN94280%2C+SN60890%2C+SN41825%2C+SN62200%2C+SN725%2C+SN30305%2C+SN17870%2C+SN77425%2C+SN51990%2C+SN56960%2C+SN15262%2C+SN76450%2C+SN76961%2C+SN77350%2C+SN69661%2C+SN32060%2C+SN62295%2C+SN64242%2C+SN82410%2C+SN76928%2C+SN6840%2C+SN69625%2C+SN93140%2C+SN20280%2C+SN71850%2C+SN72200%2C+SN17050%2C+SN81650%2C+SN85840%2C+SN26500%2C+SN20301%2C+SN53990%2C+SN51460%2C+SN76240%2C+SN19825%2C+SN69655%2C+SN50850%2C+SN69520%2C+SN25630%2C+SN62980%2C+SN43520%2C+SN99540%2C+SN55928%2C+SN76530%2C+SN30020%2C+SN60650%2C+SN700%2C+SN89010%2C+SN27403%2C+SN67005%2C+SN41480%2C+SN38250%2C+SN31970%2C+SN18270%2C+SN42700%2C+SN26820%2C+SN57710%2C+SN26802%2C+SN37580%2C+SN69035%2C+SN65940%2C+SN21700%2C+SN27406%2C+SN54770%2C+SN670%2C+SN27065%2C+SN36010%2C+SN85645%2C+SN76969%2C+SN97470%2C+SN49955%2C+SN11340%2C+SN35860%2C+SN91728%2C+SN25040%2C+SN71990%2C+SN45460%2C+SN11690%2C+SN18410%2C+SN89350%2C+SN57790%2C+SN40250%2C+SN49240%2C+SN5350%2C+SN26990%2C+SN55520%2C+SN50505%2C+SN83710%2C+SN64510%2C+SN17650%2C+SN30330%2C+SN71385%2C+SN59695%2C+SN13750%2C+SN20470%2C+SN96650%2C+SN27785%2C+SN68230%2C+SN91530%2C+SN91180%2C+SN9303%2C+SN3480%2C+SN41090%2C+SN67560%2C+SN26810%2C+SN30246&referencetime=2019-01-31T00%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 84960
2022-02-28 14:34:29,261 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
2022-02-28 14:34:35,473 | urllib3.connectionpool | DEBUG | https://frost.met.no:443 "GET /observations/v0.jsonld?sources=SN90510%2C+SN41990%2C+SN47445%2C+SN30650%2C+SN55735%2C+SN40510%2C+SN91120%2C+SN90360%2C+SN50310%2C+SN76938%2C+SN58860%2C+SN50175%2C+SN63705%2C+SN27055%2C+SN35210%2C+SN91715%2C+SN46930%2C+SN5660%2C+SN66175%2C+SN50770%2C+SN76923%2C+SN18920%2C+SN94230%2C+SN12030%2C+SN2980%2C+SN98790%2C+SN60310%2C+SN34130%2C+SN68860%2C+SN50540%2C+SN18950%2C+SN44780%2C+SN92860%2C+SN13390%2C+SN85380%2C+SN76920%2C+SN9380%2C+SN16611%2C+SN18280%2C+SN51610%2C+SN41795%2C+SN15050%2C+SN93000%2C+SN61410%2C+SN93700%2C+SN27730%2C+SN75550%2C+SN68175%2C+SN16560%2C+SN43350%2C+SN72580%2C+SN26450%2C+SN69380%2C+SN4460%2C+SN66150%2C+SN54110%2C+SN81420%2C+SN87315%2C+SN93900%2C+SN12050%2C+SN82210%2C+SN33950%2C+SN76937%2C+SN18315%2C+SN41005%2C+SN24820%2C+SN44567%2C+SN17400%2C+SN4920%2C+SN87120%2C+SN74670%2C+SN76931%2C+SN96400%2C+SN76922%2C+SN76330%2C+SN96310%2C+SN84880%2C+SN11060%2C+SN76934%2C+SN57770%2C+SN52360%2C+SN53230%2C+SN5590%2C+SN92500%2C+SN75220%2C+SN24350%2C+SN60850%2C+SN49420%2C+SN22890%2C+SN31620%2C+SN84500%2C+SN2560%2C+SN80050%2C+SN80705%2C+SN75190%2C+SN39150%2C+SN3720%2C+SN37230%2C+SN66810%2C+SN27415%2C+SN60835%2C+SN70390%2C+SN44300%2C+SN55425%2C+SN41770%2C+SN19430%2C+SN44605%2C+SN12291%2C+SN40005%2C+SN63000%2C+SN71550%2C+SN82020%2C+SN84900%2C+SN54710%2C+SN25112%2C+SN82720%2C+SN61065%2C+SN27295%2C+SN76963%2C+SN62240%2C+SN60670%2C+SN90250%2C+SN76954%2C+SN76927%2C+SN46432%2C+SN85890%2C+SN12680%2C+SN4590%2C+SN56420%2C+SN26580%2C+SN47260%2C+SN54590%2C+SN19815%2C+SN8780%2C+SN96850%2C+SN57365%2C+SN13125%2C+SN43010%2C+SN16265%2C+SN53480%2C+SN25165%2C+SN32890%2C+SN29950%2C+SN70960%2C+SN27420%2C+SN13110%2C+SN30255%2C+SN46090%2C+SN44610%2C+SN31855%2C+SN32061%2C+SN27010%2C+SN65275%2C+SN79253%2C+SN50830%2C+SN43895%2C+SN56895%2C+SN18020%2C+SN84905%2C+SN30428%2C+SN39750%2C+SN76956%2C+SN61408%2C+SN60980%2C+SN12550%2C+SN68050%2C+SN1380%2C+SN76959&referencetime=2019-01-31T00%3A00%3A00&elements=air_temperature&levels=2&qualities=0 HTTP/1.1" 200 82602
2022-02-28 14:34:37,004 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): frost.met.no:443
